"","Year","Country","MedalCount"
"1",1994,"AUS",1
"2",1994,"AUT",9
"3",1994,"BLR",2
"4",1994,"CAN",13
"5",1994,"CHN",3
"6",1994,"FIN",6
"7",1994,"FRA",5
"8",1994,"GBR",2
"9",1994,"GER",24
"10",1994,"ITA",20
"11",1994,"JPN",5
"12",1994,"KAZ",3
"13",1994,"KOR",6
"14",1994,"NED",4
"15",1994,"NOR",26
"16",1994,"RUS",23
"17",1994,"SLO",3
"18",1994,"SUI",9
"19",1994,"SWE",3
"20",1994,"UKR",2
"21",1994,"USA",13
"22",1994,"UZB",1
"23",1998,"AUS",1
"24",1998,"AUT",17
"25",1998,"BEL",1
"26",1998,"BLR",2
"27",1998,"BUL",1
"28",1998,"CAN",15
"29",1998,"CHN",8
"30",1998,"CZE",3
"31",1998,"DEN",1
"32",1998,"FIN",12
"33",1998,"FRA",8
"34",1998,"GBR",1
"35",1998,"GER",29
"36",1998,"ITA",10
"37",1998,"JPN",10
"38",1998,"KAZ",2
"39",1998,"KOR",6
"40",1998,"NED",11
"41",1998,"NOR",25
"42",1998,"RUS",18
"43",1998,"SUI",7
"44",1998,"SWE",3
"45",1998,"UKR",1
"46",1998,"USA",13
"47",2002,"AUS",2
"48",2002,"AUT",17
"49",2002,"BLR",1
"50",2002,"BUL",3
"51",2002,"CAN",17
"52",2002,"CHN",8
"53",2002,"CRO",4
"54",2002,"CZE",3
"55",2002,"EST",3
"56",2002,"FIN",7
"57",2002,"FRA",11
"58",2002,"GBR",2
"59",2002,"GER",36
"60",2002,"ITA",13
"61",2002,"JPN",2
"62",2002,"KOR",4
"63",2002,"NED",8
"64",2002,"NOR",24
"65",2002,"POL",2
"66",2002,"RUS",13
"67",2002,"SLO",1
"68",2002,"SUI",11
"69",2002,"SWE",7
"70",2002,"USA",34
"71",2006,"AUS",2
"72",2006,"AUT",23
"73",2006,"BLR",1
"74",2006,"BUL",1
"75",2006,"CAN",24
"76",2006,"CHN",11
"77",2006,"CRO",3
"78",2006,"CZE",4
"79",2006,"EST",3
"80",2006,"FIN",9
"81",2006,"FRA",9
"82",2006,"GBR",1
"83",2006,"GER",29
"84",2006,"ITA",11
"85",2006,"JPN",1
"86",2006,"KOR",11
"87",2006,"LAT",1
"88",2006,"NED",9
"89",2006,"NOR",19
"90",2006,"POL",2
"91",2006,"RUS",22
"92",2006,"SUI",14
"93",2006,"SVK",1
"94",2006,"SWE",14
"95",2006,"UKR",2
"96",2006,"USA",25
"97",2010,"AUS",3
"98",2010,"AUT",16
"99",2010,"BLR",3
"100",2010,"CAN",26
"101",2010,"CHN",11
"102",2010,"CRO",3
"103",2010,"CZE",6
"104",2010,"EST",1
"105",2010,"FIN",5
"106",2010,"FRA",11
"107",2010,"GBR",1
"108",2010,"GER",30
"109",2010,"ITA",5
"110",2010,"JPN",5
"111",2010,"KAZ",1
"112",2010,"KOR",14
"113",2010,"LAT",2
"114",2010,"NED",8
"115",2010,"NOR",23
"116",2010,"POL",6
"117",2010,"RUS",15
"118",2010,"SLO",3
"119",2010,"SUI",9
"120",2010,"SVK",3
"121",2010,"SWE",11
"122",2010,"USA",37
"123",2014,"AUS",3
"124",2014,"AUT",17
"125",2014,"BLR",6
"126",2014,"CAN",27
"127",2014,"CHN",9
"128",2014,"CRO",1
"129",2014,"CZE",9
"130",2014,"FIN",5
"131",2014,"FRA",15
"132",2014,"GBR",4
"133",2014,"GER",21
"134",2014,"ITA",9
"135",2014,"JPN",8
"136",2014,"KAZ",1
"137",2014,"KOR",8
"138",2014,"LAT",5
"139",2014,"NED",24
"140",2014,"NOR",27
"141",2014,"POL",6
"142",2014,"RUS",38
"143",2014,"SLO",8
"144",2014,"SUI",11
"145",2014,"SVK",1
"146",2014,"SWE",15
"147",2014,"UKR",2
"148",2014,"USA",30
